,gene,mutated_count,non_mutated_count,mutated_mean_survival (days),non_mutated_mean_survival (days),p_value
0,KRAS,96,25,524.53,898.92,0.011260731773966288
1,TP53,81,40,452.33,904.72,0.0045199015937944925
