covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
PC1,-0.21411398464037462,0.8072563649518946,0.0697008861472531,-0.3507252111795175,-0.07750275810123178,0.7041772273019344,0.9254244719787409,0.0,-3.0718975966536233,0.0021270268168891624,8.876946062200776
PC2,-0.0969929599395929,0.907562395404869,0.045884639286358574,-0.18692520038446736,-0.00706071949471844,0.8295057807784109,0.9929641488213495,0.0,-2.1138437927838027,0.03452861121724705,4.856063881366322
PC3,-0.04292274237562467,0.9579853988842252,0.02832519478817727,-0.09843910401553377,0.012593619264284428,0.9062508779733579,1.012673252827842,0.0,-1.5153555940783965,0.12968237648601869,2.946945660662184
PC4,-0.05744229913045724,0.9441763686121573,0.048601647935017825,-0.15269977867238765,0.037815180411473186,0.858387389332447,1.0385392727389906,0.0,-1.181900235301891,0.23724528861905103,2.0755486573919617
PC5,-0.0697003975978881,0.9326732091848661,0.06113647404388939,-0.18952568486567914,0.050124889669902944,0.8273514662132678,1.0514023974751336,0.0,-1.1400787940084791,0.25425347578836954,1.9756605982151347
PC6,-0.015375054666153179,0.9847425380506495,0.04739107333344695,-0.10825985158840576,0.07750974225609941,0.8973943767762667,1.0805927598186849,0.0,-0.3244293404788114,0.7456130094834801,0.42350106247891156
PC7,-0.08248044782348223,0.9208294419005857,0.04721710253797528,-0.17502426825224854,0.010063372605284102,0.8394366488616719,1.0101141786229915,0.0,-1.7468341636835023,0.0806661086014438,3.6318935289439525
PC8,0.11954383623028841,1.1269826456551941,0.04827645885169594,0.024923715579834485,0.21416395688074236,1.0252369079382113,1.2388257521494983,0.0,2.476234568022565,0.013277631220175721,6.234858402406776
PC9,0.06469246449088938,1.0668308855500845,0.0681478924264686,-0.068874950287299,0.19825987926907773,0.9334433996091217,1.2192792180438228,0.0,0.9492951606785548,0.3424705141453396,1.5459483139017813
PC10,-0.2266475889219518,0.7972016754941769,0.12229337427477532,-0.4663381980483886,0.013043020204484973,0.6272950981909701,1.0131284514154544,0.0,-1.8533104533750768,0.06383787373526659,3.9694435896347637
PC11,0.06723755653920271,1.069549526482004,0.0523353344235118,-0.03533781404973972,0.16981292712814516,0.9652792762718861,1.1850831336771301,0.0,1.284744948701351,0.19888142550459775,2.3300195526711147
