,mirna,low_medium_p_value,low_high_p_value,medium_high_p_value
0,hsa-mir-1224,0.08388320164380479,0.007010761686306924,0.04690081916014854
1,hsa-mir-375,0.668317877345261,0.016403148695728134,0.00665931007323003
2,hsa-mir-323b,0.3420736283954883,0.08031027917225123,0.014563278985301527
3,hsa-mir-7-3,0.6907862954846932,0.05511958487974769,0.02121359375481829
4,hsa-mir-203,0.0014675371635139655,0.21513476197913148,0.20170415236340758
5,hsa-mir-210,0.6216649795478859,0.026548097523633032,0.06180381907788984
